Country,Institution,Type,Project,Amount (in USD),Financial Close,Region,Recipient Country,Recipient Subregion,Project Sponsor,Construction Company,Generator Manufacturer,Source 1,Notes,Source 2,Source 3,Sector Group,Sector,Plant Type,Total Project Value ,Status,Power Plant Size (MW) or Share ,Annual Emissions (MMTCO2),Lifetime Emissions (MMTCO2) ,Coal Mine Size (Mtpa) ,Full MW Size ,Parent Company,SSS Manufacturer,Turbine Manufacturer,Architechture/Engineering,GPPD ID,Latitude,Longitude,Location Source
United States,Overseas Private Investment Corporation,Other Public Financer,Parque Solar Fotovoltaico Luz Del Norte Solar PV Plant ,"$230,000,000 ",9/24/2014,Latin America & Caribbean,Chile,,First Solar,,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/opic-fy14-annual-report.pdf (see pp.13, 23, 29, 37)   

https://www.opic.gov/sites/default/files/files/Parque%20Sol%3Bar%20Fotovoltaico%20Luz%20Del%20Norte%2C%20SpA%20Project%20Summary.pdf   

https://ijglobal.com/data/transaction/30476/luz-del-norte-solar-pv-plant-141mw    

https://www.opic.gov/press-releases/2014/sunedison-idb-opic-and-corpbanca-close-us190-million-project-financing-largest-merchant-solar-plant-latin-am",,Renewables,Solar,,,,,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Preparing Outer Islands for Sustainable Energy Development Project,"$38,000,000 ",9/29/2014,Southeast Asia,Maldives,,Republic of the Maldives,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://adb.org/projects/details?proj_id=46122-003&page=overview   

http://www.adb.org/sites/default/files/project-document/82419/46122-003-rrp.pdf   

http://www.adb.org/news/adb-grant-help-maldives-tap-solar-power-cut-high-fuel-bill",,Renewables,Renewables - Clean,,,Financial Close,,,,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW IPEX),Export Credit & Insurance,Kuolavaara-Keulakkopaa Wind Park,"$134,100,000 ",10/1/2014,Europe,Finland,,Nordex,,,Oil Change International’s Shift the Subsidies Database,,"http://www.ijonline.com/data/transaction/31913/51mw-kuolavaara-keulakkopaa-wind-park-financing   

https://www.kfw-ipex-bank.de/International-financing/KfW-IPEX-Bank/Presse/Pressemitteilungen/Pressemitteilungsdetails_230208.html    

https://www.kfw-ipex-bank.de/pdf/Press/Download-center/KfW-IPEX-Bank-Annual-Report-2014.pdf (see p. 23)",,Renewables,Wind,,,,51,,,,,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Shamsuna Solar PV Plant (10MW),"$7,500,000 ",10/1/2014,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,10,,,,10,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Azure Clean,"$13,940,000 ",10/2/2014,South Asia,India,,AZURE CLEAN ENERGY PRIVATE LIMITED,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/9bcd43201b32483085257d42005e1e7e?opendocument,,Renewables,Solar,,,Financial Close,40,,,,,,,,,,,,
United Kingdom,Department for International Development (DfID),Export Credit & Insurance,Solar Nigeria Programme [GB-1-203674] ,"$93,287,868 ",10/14/2014,Sub-Saharan Africa,Nigeria,,International Bank for Reconstruction and Development,,,Oil Change International’s Shift the Subsidies Database,,https://devtracker.dfid.gov.uk/projects/GB-1-203674,,Renewables,Solar,,,,,,,,,,,,,,,,
Multilateral,Inter-American Development Bank,Multilateral,Kiyu Wind Power Project,"$42,200,000 ",10/15/2014,Latin America & Caribbean,Uruguay,,Cobra IngenierÃ­a Uruguay SA ,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.iadb.org/en/projects/project-description-title%2c1303.html?id=UR-L1091   

http://www.iadb.org/en/news/news-releases/2014-10-16/new-wind-farm-in-uruguay,10947.html   

http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=39077885   

https://publications.iadb.org/bitstream/handle/11319/6855/2014%20Annual%20Report.%20%20The%20Year%20in%20Review.pdf?sequence=13 (see p. 34)",,Renewables,Wind,,,Financial Close,48.6,,,,,,,,,URY0000798,-34.6698,-56.8018,WRI
Multilateral,Asian Development Bank (ADB),Multilateral,ACME-EDF Solar Power,"$100,000,000 ",10/16/2014,South Asia,India,,ACME Solar Energy Private Limited,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://adb.org/projects/details?proj_id=48209-001&page=overview   

http://www.adb.org/sites/default/files/project-document/148680/48209-001-rrp.pdf   

http://www.adb.org/news/adb-teams-india-s-acme-roll-out-200-mw-solar-power",,Renewables,Solar,,,Financial Close,200,,,,,,,,,,,,
Multilateral,African Development Bank (AfDB),Multilateral,Menengai Geothermal Development Project,"$8,251,200 ",10/22/2014,Sub-Saharan Africa,Kenya,,Republic of Kenya (guarantee ultimate beneficiary),,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"https://www.afdb.org/en/projects-and-operations/project-portfolio/p-ke-f00-001    

https://www.afdb.org/en/news-and-events/afdb-eases-investor-risk-in-large-african-geothermal-project-13652    

http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/Kenya__AR-GDC_Menengai_105MW__IPP_Partial_Risk_Guarantee.pdf   ",,Renewables,Geothermal,,,Financial Close,,,,,,,,,,,,,
Multilateral,Inter-American Development Bank,Multilateral,Corinsa Self-Supply Solar Project,"$5,000,000 ",10/27/2014,Latin America & Caribbean,Honduras,,"Corporacion Industrial Del Norte, S.a.",,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.iadb.org/en/projects/project-description-title%2c1303.html?id=HO-L1099   

http://www.iadb.org/en/news/news-releases/2015-02-12/energy-efficiency-in-honduras,11068.html",,Renewables,Solar,,,Financial Close,3,,,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW IPEX),Export Credit & Insurance,Cestas Solar Park (120MW),"$76,580,000 ",11/4/2014,Europe,France,,Neoen Cestas ,,,Oil Change International’s Shift the Subsidies Database,,https://ijglobal.com/data/transaction/30565/cestas-solar-park-120mw,,Renewables,Solar,,,,,,,,,,,,,WRI1023933,44.7242,-0.815,WRI
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Vietnam Development Bank,"$84,914,684 ",11/6/2014,Southeast Asia,Viet Nam,,Vietnam Development Bank,,,Oil Change International’s Shift the Subsidies Database,,"http://www.exim.gov/sites/default/files/reports/annual/EXIM-2015-AR.pdf (see p.27)    

http://www.exim.gov/news/minutes/board-meeting-minutes-2014-11-06    

https://data.exim.gov/dataset/Authorizations-From-10-01-2006-Thru-12-31-2016/vbhv-d8am/data",,Renewables,Wind,,,,,,,,,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,Oryx Solar PV Plant (10MW),"$13,000,000 ",11/10/2014,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,5,,,,10,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,Green Land Solar PV Plant (10MW),"$13,000,000 ",11/10/2014,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,5,,,,10,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,EJRE Solar PV Plant (20MW),"$24,000,000 ",11/10/2014,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,20,,,,10,,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,Oryx Solar PV Plant (10MW),"$13,000,000 ",11/10/2014,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,5,,,,10,,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,Green Land Solar PV Plant (10MW),"$13,000,000 ",11/10/2014,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,5,,,,10,,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,EJRE Solar PV Plant (20MW),"$24,000,000 ",11/10/2014,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,20,,,,10,,,,,,,,
United Kingdom,Department for International Development (DfID),Export Credit & Insurance,"Green Mini-Grids Africa Regional Facility for Market Preparation, Evidence and Policy Development [GB-1-204784]","$23,553,427 ",11/14/2014,Sub-Saharan Africa,Regional,,"African Development Bank, and International Bank for Reconstruction and Development
",,,Oil Change International’s Shift the Subsidies Database,,https://devtracker.dfid.gov.uk/projects/GB-1-204784,,Renewables,Renewables - Clean,,,,,,,,,,,,,,,,
United Kingdom,Department for International Development (DfID),Export Credit & Insurance,Improving Energy Access in Tanzania [GB-1-204365] ,"$46,999,107 ",11/17/2014,Sub-Saharan Africa,Tanzania,,,,,Oil Change International’s Shift the Subsidies Database,,https://devtracker.dfid.gov.uk/projects/GB-1-204365,,Renewables,Renewables - Clean,,,,,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Renewable Energy Sector Project,"$11,190,000 ",11/21/2014,Oceania,Cook Islands,,Government of the Cook Islands,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://adb.org/projects/details?proj_id=46453-002&page=overview   

http://www.adb.org/sites/default/files/project-document/148702/46453-002-rrp.pdf   

http://www.adb.org/news/adb-help-cook-islands-generate-solar-power",,Renewables,Solar,,,Financial Close,,,,,,,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,Skurpie Wind Farm Phase II Financing 2014 (36.8MW),"$42,910,000 ",11/27/2014,Europe,Poland,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,36.8,,,,36.8,,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,Yereymentau Wind Farm,"$78,633,015 ",11/27/2014,Central Asia and Caucasus,Kazakhstan,,LLP â€œEreymentau Wind Powerâ€ (ultimately owned by Samruk-Energo JSC),,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.ebrd.com/work-with-us/projects/psd/yereymentau-wind-farm.html   

http://www.ebrd.com/work-with-us/projects/esia/yereymentau-wind-farm.html   

http://www.treasury.gov/resource-center/international/development-banks/Documents/November%202014%20MDB%20Voting%20record.pdf",,Renewables,Wind,,,Financial Close,50,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Coal to Cleaner Fuel Conversion for Heating in Ger District and Power Generation,"$350,000 ",12/4/2014,Central Asia and Caucasus,Mongolia,,Mongolia Ministry of Mining and Energy,,,http://www.adb.org/sites/default/files/project-document/150799/48029-001-tar.pdf,"Coal-to-liquids
ADB Project 48029-001: Source of Funding - ADB/Technical Assistance Special Fund ($0.35 m.). Coal-to-liquid (CTL) process. 
ADB RESPONSE: This is a Policy Advisory Technical Assistance. ADB does not count it as part of its loan investments",,,Coal Mining,Coal Mining,,,Financial Close,,0,0,,,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Green Infra Wind,"$59,100,000 ",12/5/2014,South Asia,India,,GREEN INFRA CORPORATE SOLAR LIMITED,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/2e5d24646ede655a85257d6900743cb1?opendocument,,Renewables,Wind,,,Financial Close,0,,,,,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,Lake Turkana Wind Farm (300MW),"$62,050,000 ",12/9/2014,Sub-Saharan Africa,Kenya,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,60,,,,60,,,,,WRI1000054,2.6447,36.7378,WRI
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Lake Turkana Wind Farm (300MW),"$24,820,000 ",12/9/2014,Sub-Saharan Africa,Kenya,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,75,,,,75,KfW,,,,WRI1000054,2.6447,36.7378,WRI
Multilateral,European Bank for Reconstruction and Development,Multilateral,Lake Turkana Wind Farm (300MW),"$248,200,000 ",12/9/2014,Sub-Saharan Africa,Kenya,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,75,,,,75,,,,,WRI1000054,2.6447,36.7378,WRI
Multilateral,African Development Bank (AfDB),Multilateral,Lake Turkana Wind Farm (300MW),"$167,540,000 ",12/9/2014,Sub-Saharan Africa,Kenya,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,75,,,,75,,,,,WRI1000054,2.6447,36.7378,WRI
Multilateral,African Development Bank (AfDB),Multilateral,Lake Turkana Wind Farm (300MW),"$6,200,000 ",12/9/2014,Sub-Saharan Africa,Kenya,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,75,,,,75,,,,,WRI1000054,2.6447,36.7378,WRI
China,Export-Import Bank of China,Export Credit & Insurance,Kostolac B3,"$608,260,000 ",12/16/2014,Europe,Serbia,,"Serbian Ministry of Energy, Development and Environmental Protection",,,http://uk.reuters.com/article/2014/12/14/serbia-energy-china-idUKL6N0TY0MD20141214 ,"Note - additional to Kostolac 2/3 project approved in 2012
China Machinery Engineering Corporation","http://www.sourcewatch.org/index.php/OPM_Kostolac http://cpmconsulting.rs/eng/government-adopts-legal-framework-project-kostolac-b3 http://www.bloomberg.com/news/articles/2013-11-20/serbs-sign-716-million-coal-plant-mine-deal-with-cmec http://www.rts.rs/page/stories/sr/story/13/Ekonomija/1413586/Nikoli%C4%87+sa+kineskom+delegacijom.html (see pp. 7-8) http://www.bloomberg.com/news/articles/2012-09-27/serbia-will-seek-chinese-funding-to-expand-kostolac-power-plant http://www.pp.u-tokyo.ac.jp/research/dp/documents/GraSPP-DP-E-14-003-SOM.pdf http://www.sourcewatch.org/index.php/TPP_Kostolac_Power_Station http://www.reuters.com/article/2013/11/05/serbia-energy-china-idUSL5N0IQ3PF20131105 
https://en.wikipedia.org/wiki/TPP_Kostolac_B3 http://www.tradefinancemagazine.com/Article/3275764/Sectors/23007/China-Ex-Im-to-fund-1-billion-Serbian-coal-plant.html
http://bankwatch.org/our-work/projects/kostolac-lignite-power-plant-serbia",,Coal Power Plant,Coal power plant - expansion,,,Financial Close,350,0.4,16,,,ELEKTROPRIVREDA SRBIJE (EPS),,,CMEC,WRI1020278,44.7307,21.2104,WRI
Multilateral,World Bank - International Finance Corporation,Multilateral,Pacifico Solar Programme (81.7MW),"$65,500,000 ",12/16/2014,Latin America & Caribbean,Honduras,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,40.85,,,,40.9,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Pacifico Solar Programme (81.7MW),"$20,000,000 ",12/16/2014,Latin America & Caribbean,Honduras,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,40.85,,,,40.9,,,,,,,,
Multilateral,Inter-American Development Bank,Multilateral,Arica I Solar PV Project,"$27,700,000 ",12/16/2014,Latin America & Caribbean,Chile,,"Arica Solar GeneraciÃ³n 1, Ltda., (controlled by Hong Kong-based Sky Solar Holdings, Ltd.) ",,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.iadb.org/en/projects/project-description-title%2c1303.html?id=CH-L1079   

http://www.iadb.org/en/news/news-releases/2014-12-22/chile-renewable-energy,11044.html   

https://publications.iadb.org/bitstream/handle/11319/6855/2014%20Annual%20Report.%20%20The%20Year%20in%20Review.pdf?sequence=13 (see p. 32)",,Renewables,Solar,,,Financial Close,40,,,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Concentrated Solar Power Station (110 MW),"$122,904,479 ",12/19/2014,Latin America & Caribbean,Chile,,Republic of Chile and the Chilean development bank CORFO,,,Oil Change International’s Shift the Subsidies Database,,"https://www.kfw.de/KfW-Group/Newsroom/Aktuelles/Pressemitteilungen/Pressemitteilungen-Details_252416.html    

https://www.kfw.de/PDF/Download-Center/Finanzpublikationen/PDF-Dokumente-Berichte-etc./1_Gesch??ftsberichte/Gesch??ftsbericht_2014_E.pdf (see p.138)",,Renewables,Solar,,,,,,,,,,,,,,,,
China,Export-Import Bank of China,Export Credit & Insurance,Pangkalan Susu Units 1 and 2 Coal Power Plant (400MW),"$373,009,532 ",12/22/2014,Southeast Asia,Indonesia,,Indonesian State Electricity Company,,,http://china.aiddata.org/projects/39372 http://www.sourcewatch.org/index.php/Pangkalan_Susu_power_station http://www.djppr.kemenkeu.go.id/page/load/1177,Sinohydro,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2015-08-20/601669_20150820_1.pdf,,Coal Power Plant,Coal power plant - new ,Subcritical,,Financial Close,400,0.46,18,,,PT PLN PERSERO,,,SINOHY8,WRI1000967,4.1196,98.2555,WRI
China,Export-Import Bank of China,Export Credit & Insurance,Takalar Steam Coal Power Plant,"$240,983,000 ",12/22/2014,Southeast Asia,Indonesia,,Indonesian State Electricity Company,,,"http://china.aiddata.org/projects/39373 
http://www.bappenas.go.id/files/4314/1387/1046/drppln-2014.pdf http://www.pln.co.id/eng/?p=3165 
http://www.chinadaily.com.cn/m/gezhouba/2015-05/12/content_20698093.htm http://www.djppr.kemenkeu.go.id/page/load/1177",also known as Punagaya FTP2 ,http://www.sourcewatch.org/index.php/Takalar_power_station,,Coal Power Plant,Coal power plant - new ,Subcritical,,Financial Close,200,0.23,9,,,,,,,,-5.6236347,119.550822,GCPT
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Borusan EnBW Wind Farms,"$105,500,000 ",12/22/2014,Europe,Turkey,,Borusan EnBW Enerji Yat??r??mlar?? ve ??retimi A.??.,,,Oil Change International’s Shift the Subsidies Database,,http://www.ijonline.com/data/transaction/31691/180mw-borusan-enbw-wind-farms-bundle,,Renewables,Wind,,,,180,,,,,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,Penonome II Wind Farm (215MW),"$20,000,000 ",12/29/2014,Latin America & Caribbean,Panama,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,53.75,,,,53.8,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,Mecanismos de Energia Renovable (Mecer) Solar PV Plant (25MW),"$11,000,000 ",12/29/2014,Latin America & Caribbean,Honduras,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,6.25,,,,6.3,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Mecanismos de Energia Renovable (Mecer) Solar PV Plant (25MW),"$11,000,000 ",12/29/2014,Latin America & Caribbean,Honduras,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,25,,,,25,KfW,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Penonome II Wind Farm (215MW),"$80,000,000 ",12/29/2014,Latin America & Caribbean,Panama,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,71.67,,,,71.7,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Penonome II Wind Farm (215MW),"$60,000,000 ",12/29/2014,Latin America & Caribbean,Panama,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,71.67,,,,71.7,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Penonome II Wind Farm (215MW),"$16,000,000 ",12/29/2014,Latin America & Caribbean,Panama,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,71.67,,,,71.7,,,,,,,,
China,China Export & Credit Insurance Corporation (Sinosure),Export Credit & Insurance,Thang Long Power Plant  (600MW)  越南沿海火电 EPC 项目,"$919,000,000 ",12/31/2014,Southeast Asia,Vietnam,Quang Ninh Province,THANG LONG THERMO POWER JSC,"Wuhan Kaidi Electric Power Engineering, Dongfang Electric Corp, Alstom",DONGFANG,"http://www.hkexnews.hk/listedco/listconews/SEHK/2016/0330/LTN20160330087_C.pdf Appendix 1, page 6",This loan was guaranteed by the Vietnam Ministry of Finance. This is the first Independent Power Project (IPP) financed from China to a private Vietnamese company.,http://www.lvnlaw.com/index.php?option=com_content&view=article&id=3&Itemid=3,"http://www.breakbulk.com/dongfang-kaidi-win-vietnam-power-plant-contracts/
http://www.sinosure.com.cn/sinosure/wwcbxm/zcqckxybx/171354.html",Coal Power Plant,Coal Power Plant - New,CFB,"$645,000,000 ",Financial close,300,0.34,14,,,GENERAL EXPORT & IMPORT CO,WUHAN,DONGFANG,KAIDI,,,,
China,China Development Bank,Other Public Financer,Thang Long Power Plant  (600MW)  越南沿海火电 EPC 项目,,12/31/2014,Southeast Asia,Vietnam,Quang Ninh Province,THANG LONG THERMO POWER JSC,"Wuhan Kaidi Electric Power Engineering, Dongfang Electric Corp, Alstom",DONGFANG,"http://www.hkexnews.hk/listedco/listconews/SEHK/2016/0330/LTN20160330087_C.pdf Appendix 1, page 6",This loan was guaranteed by the Vietnam Ministry of Finance. This is the first Independent Power Project (IPP) financed from China to a private Vietnamese company.,http://www.lvnlaw.com/index.php?option=com_content&view=article&id=3&Itemid=3,"http://www.breakbulk.com/dongfang-kaidi-win-vietnam-power-plant-contracts/
http://www.sinosure.com.cn/sinosure/wwcbxm/zcqckxybx/171354.html",Coal Power Plant,Coal Power Plant - New,CFB,,Financial close,300,0.34,14,,,GENERAL EXPORT & IMPORT CO,WUHAN,DONGFANG,KAIDI,,,,
China,Export-Import Bank of China,Export Credit & Insurance,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),"$234,000,000 ",12/31/2014,Southeast Asia,Vietnam,Binh Thuan,"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",CHINA SOUTHERN POWER GRID CO,,IJ Global: Project Finance and Infrastructure Journal,,,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financial Close,200,0.23,9,,,,,,,,11.317,108.808,GCPT
China,China Export & Credit Insurance Corporation (Sinosure),Export Credit & Insurance,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),"$234,000,000 ",12/31/2014,Southeast Asia,Vietnam,Binh Thuan,"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",CHINA SOUTHERN POWER GRID CO,,IJ Global: Project Finance and Infrastructure Journal,,,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financial Close,200,0.23,9,,,,,,,,11.317,108.808,GCPT
China,China Development Bank,Other Public Financer,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),"$234,000,000 ",12/31/2014,Southeast Asia,Vietnam,Binh Thuan,"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",CHINA SOUTHERN POWER GRID CO,,IJ Global: Project Finance and Infrastructure Journal,,,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financial Close,200,0.23,9,,,CHINA SOUTHERN POWER GRID CO,BWBC,,GEDI,,11.317,108.808,GCPT
Italy,Servizi Assicurativi del Commercio Estero (SACE),Export Credit & Insurance,"Punta Catalina
Implementation of a 752
MW (376 MW x 2 unit)
coal-fired thermal power
plant
","$632,000,000 ",1/1/2015,Latin America & Caribbean,Dominican Republic,,Not identified,,,http://www.sace.it/en/about-us/environmental-impact/single-environmental-news/environmental-and-social-impact-assessment-availability-for-the-punta-catalina-project,"Coal-to-liquids
Annual emissions data provided by SACE",http://www.sace.it/docs/default-source/report-ambiente/op-2015_eng.pdf?sfvrsn=4,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financial Close,752,0.86,34,,,CORP DOMINICANA EMP ELEC EST,BW,GE,OD/TC/IE,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal processing: coal grinding plant,"$5,336,179 ",1/1/2015,Middle East & North Africa,Egypt,,Not identified,,,,Parliamentary Inquiry. Coal-to-liquids,,,Coal Mining,Coal Mining,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coalmining machinery: folding shovel excavator,"$7,470,651 ",1/1/2015,Central Asia and Caucasus,Russia,,Not identified,,,,Parliamentary Inquiry. 7m Euros,,,Coal Mining,Coal Mining,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal processing: coke oven machine including services,"$14,941,302 ",1/1/2015,Europe,Ukraine,,Not identified,,,,Parliamentary Inquiry. Coal-to-liquids,,,Coal Mining,Coal Mining,,,Financial Close,,0,0,,,,,,,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,"Solar Cocle Venture, S.R.L.","$15,500,000 ",1/1/2015,Latin America & Caribbean,Panama,,Entropy Investment Management,,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/2015annualreport.pdf (see p.37)   

https://www.opic.gov/sites/default/files/files/solar-cocle-info-summary.pdf",,Renewables,Solar,,,,,,,,,,,,,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,Cloverfield Energy Services Ltd.,"$6,832,485 ",1/1/2015,Middle East & North Africa,Kenya,,Powerhive Inc.,,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/2015annualreport.pdf (see p.35)

https://www.opic.gov/sites/default/files/files/cloverfield-info-summary-fy15.pdf",,Renewables,Solar,,,,,,,,,,,,,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,GoSolar Energy Efficiency S.R.L.,"$6,500,000 ",1/1/2015,Latin America & Caribbean,Costa Rica,,Four Rivers,,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/2015annualreport.pdf (see p.37)   

https://www.opic.gov/sites/default/files/files/GoSolar_INFORMATION-SUMMARY-FOR-THE-PUBLIC.pdf",,Renewables,Solar,,,,,,,,,,,,,,,,
